Problem, ACO, IGA
50_20_01 , 612023 , 612023
50_20_02 , 640081 , 640081
50_20_03 , 613147 , 613147
50_20_04 , 681596 , 681596
50_20_05 , 671406 , 671406
50_20_06 , 665146 , 665146
50_20_07 , 581626 , 581626
50_20_08 , 543645 , 543645
50_20_09 , 589691 , 589691
50_20_10 , 613812 , 613812
50_20_11 , 621672 , 621672
50_20_12 , 597769 , 597769
50_20_13 , 569364 , 569364
50_20_14 , 583762 , 583762
50_20_15 , 603529 , 603529
50_20_16 , 559777 , 559777
50_20_17 , 656903 , 656903
50_20_18 , 645706 , 645706
50_20_19 , 479529 , 479529
50_20_20 , 580451 , 580451
50_20_21 , 639318 , 629892
50_20_22 , 666961 , 666961
50_20_23 , 611927 , 611927
50_20_24 , 561347 , 561347
50_20_25 , 604888 , 604888
50_20_26 , 611465 , 611465
50_20_27 , 575392 , 575392
50_20_28 , 559913 , 559913
50_20_29 , 559208 , 559208
50_20_30 , 514096 , 514096
100_20_01 , 1.84981e+06 , 1.84981e+06
100_20_02 , 1.8541e+06 , 1.8541e+06
100_20_03 , 1.73056e+06 , 1.73056e+06
100_20_04 , 2.01361e+06 , 2.01361e+06
100_20_05 , 1.5828e+06 , 1.5828e+06
100_20_06 , 1.71088e+06 , 1.71088e+06
100_20_07 , 1.82878e+06 , 1.82878e+06
100_20_08 , 1.82452e+06 , 1.79638e+06
100_20_09 , 1.89395e+06 , 1.89395e+06
100_20_10 , 1.72318e+06 , 1.72318e+06
100_20_11 , 1.88336e+06 , 1.88336e+06
100_20_12 , 1.76945e+06 , 1.76945e+06
100_20_13 , 1.76789e+06 , 1.76789e+06
100_20_14 , 1.77793e+06 , 1.77793e+06
100_20_15 , 1.50472e+06 , 1.50472e+06
100_20_16 , 1.93041e+06 , 1.93041e+06
100_20_17 , 1.81892e+06 , 1.81892e+06
100_20_18 , 1.8784e+06 , 1.8784e+06
100_20_19 , 1.75414e+06 , 1.75414e+06
100_20_20 , 1.868e+06 , 1.868e+06
100_20_21 , 1.75541e+06 , 1.75541e+06
100_20_22 , 1.81525e+06 , 1.81525e+06
100_20_23 , 1.82858e+06 , 1.82858e+06
100_20_24 , 1.76672e+06 , 1.76672e+06
100_20_25 , 1.76386e+06 , 1.76386e+06
100_20_26 , 1.62757e+06 , 1.62757e+06
100_20_27 , 1.93623e+06 , 1.93623e+06
100_20_28 , 1.80361e+06 , 1.80361e+06
100_20_29 , 2.07434e+06 , 2.07434e+06
100_20_30 , 1.82995e+06 , 1.82995e+06
