Problem, ACO, IGA
50_20_01 , 666625 , 667302
50_20_02 , 722402 , 722402
50_20_03 , 669566 , 669566
50_20_04 , 763858 , 795986
50_20_05 , 730729 , 759774
50_20_06 , 732990 , 732990
50_20_07 , 646190 , 658283
50_20_08 , 589837 , 589837
50_20_09 , 674626 , 696248
50_20_10 , 663500 , 722487
50_20_11 , 685034 , 694672
50_20_12 , 672780 , 674450
50_20_13 , 630166 , 642911
50_20_14 , 660424 , 682447
50_20_15 , 683923 , 671270
50_20_16 , 613613 , 640884
50_20_17 , 747141 , 747141
50_20_18 , 685257 , 716902
50_20_19 , 528528 , 533646
50_20_20 , 665179 , 659330
50_20_21 , 701048 , 712160
50_20_22 , 730016 , 730016
50_20_23 , 669034 , 669034
50_20_24 , 627244 , 637273
50_20_25 , 675951 , 680876
50_20_26 , 698007 , 729948
50_20_27 , 649405 , 689628
50_20_28 , 616428 , 616428
50_20_29 , 622192 , 639497
50_20_30 , 608273 , 614985
100_20_01 , 2.04996e+06 , 2.05344e+06
100_20_02 , 2.06119e+06 , 2.14393e+06
100_20_03 , 1.8822e+06 , 1.8822e+06
100_20_04 , 2.26706e+06 , 2.28566e+06
100_20_05 , 1.79948e+06 , 1.79401e+06
100_20_06 , 1.95659e+06 , 1.98472e+06
100_20_07 , 2.0662e+06 , 2.06387e+06
100_20_08 , 1.99669e+06 , 1.9311e+06
100_20_09 , 2.06787e+06 , 2.06787e+06
100_20_10 , 1.84313e+06 , 1.84313e+06
100_20_11 , 2.05479e+06 , 2.07547e+06
100_20_12 , 1.91812e+06 , 1.91812e+06
100_20_13 , 1.9262e+06 , 1.9262e+06
100_20_14 , 1.97876e+06 , 1.97281e+06
100_20_15 , 1.63166e+06 , 1.60384e+06
100_20_16 , 2.08065e+06 , 2.0534e+06
100_20_17 , 2.08544e+06 , 2.13362e+06
100_20_18 , 2.10707e+06 , 2.0811e+06
100_20_19 , 2.02567e+06 , 1.96151e+06
100_20_20 , 2.04285e+06 , 2.05733e+06
100_20_21 , 1.91134e+06 , 1.94163e+06
100_20_22 , 1.95577e+06 , 1.95577e+06
100_20_23 , 2.02545e+06 , 2.03828e+06
100_20_24 , 1.93153e+06 , 1.93153e+06
100_20_25 , 1.9386e+06 , 1.92026e+06
100_20_26 , 1.80128e+06 , 1.74632e+06
100_20_27 , 2.16488e+06 , 2.16488e+06
100_20_28 , 2.12796e+06 , 2.09833e+06
100_20_29 , 2.19726e+06 , 2.23521e+06
100_20_30 , 1.9727e+06 , 1.93442e+06
