Problem , Solution , CT
50_20_01 , 839136 , 0.013
50_20_02 , 833834 , 0.025
50_20_03 , 812873 , 0.02
50_20_04 , 862853 , 0.014
50_20_05 , 867961 , 0.013
50_20_06 , 843194 , 0.007
50_20_07 , 744905 , 0.012
50_20_08 , 697803 , 0.019
50_20_09 , 782081 , 0.013
50_20_10 , 770261 , 0.013
50_20_11 , 741993 , 0.014
50_20_12 , 775109 , 0.022
50_20_13 , 728874 , 0.015
50_20_14 , 800323 , 0.017
50_20_15 , 773325 , 0.017
50_20_16 , 735629 , 0.01
50_20_17 , 861996 , 0.019
50_20_18 , 883588 , 0.013
50_20_19 , 630175 , 0.018
50_20_20 , 732767 , 0.01
50_20_21 , 833514 , 0.016
50_20_22 , 786022 , 0.017
50_20_23 , 769711 , 0.011
50_20_24 , 736687 , 0.012
50_20_25 , 804604 , 0.012
50_20_26 , 799346 , 0.015
50_20_27 , 734628 , 0.017
50_20_28 , 770049 , 0.015
50_20_29 , 730634 , 0.015
50_20_30 , 678289 , 0.014
100_20_01 , 2.65046e+006 , 0.093
100_20_02 , 2.52423e+006 , 0.111
100_20_03 , 2.45662e+006 , 0.121
100_20_04 , 2.73986e+006 , 0.082
100_20_05 , 2.24006e+006 , 0.122
100_20_06 , 2.4057e+006 , 0.101
100_20_07 , 2.50324e+006 , 0.093
100_20_08 , 2.61394e+006 , 0.115
100_20_09 , 2.58076e+006 , 0.112
100_20_10 , 2.25624e+006 , 0.109
100_20_11 , 2.5104e+006 , 0.118
100_20_12 , 2.4162e+006 , 0.115
100_20_13 , 2.4062e+006 , 0.115
100_20_14 , 2.39456e+006 , 0.113
100_20_15 , 2.18752e+006 , 0.075
100_20_16 , 2.57255e+006 , 0.104
100_20_17 , 2.60444e+006 , 0.101
100_20_18 , 2.4593e+006 , 0.124
100_20_19 , 2.42366e+006 , 0.101
100_20_20 , 2.49307e+006 , 0.115
100_20_21 , 2.5306e+006 , 0.076
100_20_22 , 2.4073e+006 , 0.098
100_20_23 , 2.57655e+006 , 0.103
100_20_24 , 2.40794e+006 , 0.116
100_20_25 , 2.48078e+006 , 0.116
100_20_26 , 2.11952e+006 , 0.108
100_20_27 , 2.55965e+006 , 0.085
100_20_28 , 2.49381e+006 , 0.083
100_20_29 , 2.69266e+006 , 0.103
100_20_30 , 2.49304e+006 , 0.091
