Problem , Solution , CT
50_20_01 , 652304 , 0.014
50_20_02 , 681244 , 0.014
50_20_03 , 646763 , 0.018
50_20_04 , 710506 , 0.015
50_20_05 , 707464 , 0.01
50_20_06 , 691835 , 0.011
50_20_07 , 615738 , 0.011
50_20_08 , 568843 , 0.009
50_20_09 , 606517 , 0.013
50_20_10 , 628401 , 0.015
50_20_11 , 636238 , 0.009
50_20_12 , 614490 , 0.009
50_20_13 , 587563 , 0.008
50_20_14 , 609491 , 0.01
50_20_15 , 666832 , 0.008
50_20_16 , 594900 , 0.009
50_20_17 , 708058 , 0.008
50_20_18 , 649181 , 0.01
50_20_19 , 478832 , 0.008
50_20_20 , 623085 , 0.015
50_20_21 , 646876 , 0.015
50_20_22 , 693308 , 0.008
50_20_23 , 661629 , 0.011
50_20_24 , 572485 , 0.009
50_20_25 , 628992 , 0.01
50_20_26 , 644082 , 0.01
50_20_27 , 601460 , 0.009
50_20_28 , 586004 , 0.007
50_20_29 , 587874 , 0.011
50_20_30 , 552396 , 0.018
100_20_01 , 1.9365e+006 , 0.083
100_20_02 , 1.97068e+006 , 0.067
100_20_03 , 1.78716e+006 , 0.068
100_20_04 , 2.04905e+006 , 0.084
100_20_05 , 1.63279e+006 , 0.067
100_20_06 , 1.74098e+006 , 0.081
100_20_07 , 1.91419e+006 , 0.073
100_20_08 , 1.85404e+006 , 0.066
100_20_09 , 1.93347e+006 , 0.081
100_20_10 , 1.76838e+006 , 0.063
100_20_11 , 1.92257e+006 , 0.079
100_20_12 , 1.82005e+006 , 0.067
100_20_13 , 1.84567e+006 , 0.074
100_20_14 , 1.7931e+006 , 0.058
100_20_15 , 1.55842e+006 , 0.096
100_20_16 , 1.97656e+006 , 0.078
100_20_17 , 1.87442e+006 , 0.084
100_20_18 , 1.93698e+006 , 0.068
100_20_19 , 1.80542e+006 , 0.072
100_20_20 , 1.92969e+006 , 0.077
100_20_21 , 1.85681e+006 , 0.062
100_20_22 , 1.80971e+006 , 0.061
100_20_23 , 1.88669e+006 , 0.081
100_20_24 , 1.78241e+006 , 0.072
100_20_25 , 1.81818e+006 , 0.069
100_20_26 , 1.65708e+006 , 0.086
100_20_27 , 1.97245e+006 , 0.085
100_20_28 , 1.82489e+006 , 0.076
100_20_29 , 2.14752e+006 , 0.079
100_20_30 , 1.86679e+006 , 0.068
