Problem , Solution , CT
50_20_01 , 606161 , 1.465
50_20_02 , 634033 , 1.589
50_20_03 , 603389 , 2.168
50_20_04 , 680850 , 1.434
50_20_05 , 659070 , 1.597
50_20_06 , 650811 , 1.687
50_20_07 , 579268 , 1.442
50_20_08 , 550620 , 1.197
50_20_09 , 582208 , 1.183
50_20_10 , 610947 , 0.989
50_20_11 , 613128 , 1.503
50_20_12 , 594600 , 2.217
50_20_13 , 565188 , 1.231
50_20_14 , 586604 , 1.552
50_20_15 , 607597 , 1.429
50_20_16 , 559067 , 1.612
50_20_17 , 665020 , 1.5
50_20_18 , 639124 , 1.705
50_20_19 , 474954 , 1.586
50_20_20 , 577547 , 1.564
50_20_21 , 631923 , 1.497
50_20_22 , 652411 , 1.226
50_20_23 , 620338 , 1.097
50_20_24 , 555810 , 1.277
50_20_25 , 599467 , 1.646
50_20_26 , 608818 , 1.628
50_20_27 , 574090 , 1.692
50_20_28 , 568032 , 0.947
50_20_29 , 551459 , 1.512
50_20_30 , 516814 , 1.53
100_20_01 , 1.83294e+006 , 32.151
100_20_02 , 1.84174e+006 , 43.917
100_20_03 , 1.70638e+006 , 43.382
100_20_04 , 1.97855e+006 , 41.415
100_20_05 , 1.56834e+006 , 32.522
100_20_06 , 1.69445e+006 , 44.384
100_20_07 , 1.79559e+006 , 42.449
100_20_08 , 1.78798e+006 , 33.192
100_20_09 , 1.87113e+006 , 35.901
100_20_10 , 1.68804e+006 , 32.786
100_20_11 , 1.85101e+006 , 31.771
100_20_12 , 1.72657e+006 , 42.254
100_20_13 , 1.74516e+006 , 38.792
100_20_14 , 1.73419e+006 , 46.685
100_20_15 , 1.47979e+006 , 45.128
100_20_16 , 1.88844e+006 , 33.72
100_20_17 , 1.79674e+006 , 42.652
100_20_18 , 1.85426e+006 , 38.109
100_20_19 , 1.70812e+006 , 35.211
100_20_20 , 1.82713e+006 , 40.714
100_20_21 , 1.73372e+006 , 31.05
100_20_22 , 1.78809e+006 , 37.464
100_20_23 , 1.8131e+006 , 36.144
100_20_24 , 1.72855e+006 , 43.719
100_20_25 , 1.7526e+006 , 38.718
100_20_26 , 1.58985e+006 , 31.061
100_20_27 , 1.88708e+006 , 42.931
100_20_28 , 1.75952e+006 , 39.397
100_20_29 , 2.03301e+006 , 34.278
100_20_30 , 1.81391e+006 , 36.299
