Problem , Solution , CT
50_20_01 , 613268 , 0.268
50_20_02 , 638095 , 0.278
50_20_03 , 603423 , 0.256
50_20_04 , 678553 , 0.468
50_20_05 , 662581 , 0.557
50_20_06 , 661776 , 0.434
50_20_07 , 581513 , 0.35
50_20_08 , 552116 , 0.315
50_20_09 , 595555 , 0.212
50_20_10 , 616795 , 0.34
50_20_11 , 624475 , 0.282
50_20_12 , 592502 , 0.294
50_20_13 , 574234 , 0.202
50_20_14 , 591064 , 0.559
50_20_15 , 616880 , 0.243
50_20_16 , 565406 , 0.151
50_20_17 , 663755 , 0.274
50_20_18 , 641063 , 0.374
50_20_19 , 478340 , 0.054
50_20_20 , 580124 , 0.254
50_20_21 , 632240 , 0.249
50_20_22 , 663123 , 0.229
50_20_23 , 623309 , 0.421
50_20_24 , 565445 , 0.137
50_20_25 , 602025 , 0.246
50_20_26 , 616318 , 0.363
50_20_27 , 576120 , 0.369
50_20_28 , 566916 , 0.117
50_20_29 , 562535 , 0.258
50_20_30 , 526223 , 0.37
100_20_01 , 1.8396e+006 , 4.221
100_20_02 , 1.85682e+006 , 9.149
100_20_03 , 1.71347e+006 , 4.341
100_20_04 , 2.00118e+006 , 4.366
100_20_05 , 1.58818e+006 , 5.801
100_20_06 , 1.70376e+006 , 5.817
100_20_07 , 1.83566e+006 , 2.82
100_20_08 , 1.80474e+006 , 2.681
100_20_09 , 1.9111e+006 , 6.322
100_20_10 , 1.70568e+006 , 5.944
100_20_11 , 1.86183e+006 , 5.587
100_20_12 , 1.76475e+006 , 3.264
100_20_13 , 1.75958e+006 , 6.155
100_20_14 , 1.7506e+006 , 9.606
100_20_15 , 1.49231e+006 , 6.02
100_20_16 , 1.89422e+006 , 6.698
100_20_17 , 1.81529e+006 , 4.539
100_20_18 , 1.86608e+006 , 4.795
100_20_19 , 1.74852e+006 , 5.256
100_20_20 , 1.85216e+006 , 4.499
100_20_21 , 1.78208e+006 , 4.415
100_20_22 , 1.7912e+006 , 4.548
100_20_23 , 1.81328e+006 , 6.349
100_20_24 , 1.75777e+006 , 4.788
100_20_25 , 1.77435e+006 , 4.576
100_20_26 , 1.59919e+006 , 4.193
100_20_27 , 1.93059e+006 , 4.213
100_20_28 , 1.77643e+006 , 4.656
100_20_29 , 2.0467e+006 , 4.523
100_20_30 , 1.82711e+006 , 6.171
