Problem , Solution , CT
50_20_01 , 633541 , 1.661
50_20_02 , 650046 , 1.944
50_20_03 , 626228 , 2.486
50_20_04 , 706262 , 2.015
50_20_05 , 695800 , 2.058
50_20_06 , 671318 , 2.119
50_20_07 , 606300 , 2.408
50_20_08 , 560258 , 2.402
50_20_09 , 601621 , 2.636
50_20_10 , 628628 , 2.111
50_20_11 , 640689 , 2.199
50_20_12 , 613469 , 2.065
50_20_13 , 592992 , 1.569
50_20_14 , 631247 , 2.401
50_20_15 , 629694 , 1.864
50_20_16 , 589947 , 2.032
50_20_17 , 692485 , 1.984
50_20_18 , 658875 , 2.055
50_20_19 , 495277 , 2.638
50_20_20 , 589364 , 2.393
50_20_21 , 659652 , 1.843
50_20_22 , 681009 , 1.886
50_20_23 , 630945 , 2.103
50_20_24 , 591647 , 1.861
50_20_25 , 605699 , 2.475
50_20_26 , 627715 , 2.145
50_20_27 , 579421 , 2.353
50_20_28 , 571613 , 2.573
50_20_29 , 574162 , 2.485
50_20_30 , 536898 , 2.149
100_20_01 , 1.91141e+006 , 52.415
100_20_02 , 1.90688e+006 , 46.928
100_20_03 , 1.77545e+006 , 59.272
100_20_04 , 2.10443e+006 , 58.735
100_20_05 , 1.649e+006 , 48.689
100_20_06 , 1.79769e+006 , 47.604
100_20_07 , 1.89682e+006 , 48.609
100_20_08 , 1.84854e+006 , 47.207
100_20_09 , 1.98633e+006 , 44.612
100_20_10 , 1.76278e+006 , 38.096
100_20_11 , 1.93701e+006 , 49.134
100_20_12 , 1.79766e+006 , 59.37
100_20_13 , 1.80899e+006 , 46.752
100_20_14 , 1.79369e+006 , 56.979
100_20_15 , 1.52578e+006 , 61.111
100_20_16 , 2.01262e+006 , 44.727
100_20_17 , 1.90226e+006 , 48.507
100_20_18 , 1.96287e+006 , 54.789
100_20_19 , 1.8076e+006 , 52.529
100_20_20 , 1.92822e+006 , 48.319
100_20_21 , 1.83943e+006 , 37.662
100_20_22 , 1.88586e+006 , 46.006
100_20_23 , 1.9125e+006 , 50.077
100_20_24 , 1.82234e+006 , 53.197
100_20_25 , 1.87126e+006 , 53.428
100_20_26 , 1.71134e+006 , 51.392
100_20_27 , 1.96391e+006 , 52.832
100_20_28 , 1.84254e+006 , 51.126
100_20_29 , 2.20548e+006 , 46.469
100_20_30 , 1.87501e+006 , 54.314
