Problem , Solution , CT
50_20_01 , 619849 , 0.551
50_20_02 , 645630 , 0.845
50_20_03 , 609500 , 0.933
50_20_04 , 703838 , 0.6
50_20_05 , 691122 , 0.471
50_20_06 , 673115 , 0.557
50_20_07 , 584822 , 0.662
50_20_08 , 554701 , 0.621
50_20_09 , 597587 , 0.86
50_20_10 , 632025 , 0.612
50_20_11 , 638817 , 0.392
50_20_12 , 607728 , 0.824
50_20_13 , 579296 , 0.736
50_20_14 , 585902 , 0.745
50_20_15 , 624038 , 0.676
50_20_16 , 568983 , 0.757
50_20_17 , 666736 , 0.69
50_20_18 , 656722 , 0.528
50_20_19 , 483322 , 0.684
50_20_20 , 590232 , 0.731
50_20_21 , 634264 , 0.713
50_20_22 , 664941 , 0.607
50_20_23 , 622267 , 0.821
50_20_24 , 567517 , 0.537
50_20_25 , 609411 , 0.787
50_20_26 , 632103 , 0.6
50_20_27 , 583365 , 0.796
50_20_28 , 570138 , 0.784
50_20_29 , 566508 , 0.902
50_20_30 , 532037 , 0.893
100_20_01 , 1.86246e+006 , 11.573
100_20_02 , 1.89625e+006 , 15.685
100_20_03 , 1.73335e+006 , 12.16
100_20_04 , 2.03518e+006 , 9.773
100_20_05 , 1.61137e+006 , 10.183
100_20_06 , 1.73334e+006 , 10.45
100_20_07 , 1.87068e+006 , 16.368
100_20_08 , 1.82711e+006 , 7.724
100_20_09 , 1.91858e+006 , 8.85
100_20_10 , 1.73152e+006 , 8.643
100_20_11 , 1.90055e+006 , 8.77
100_20_12 , 1.76313e+006 , 14.905
100_20_13 , 1.79511e+006 , 18.562
100_20_14 , 1.77669e+006 , 16.704
100_20_15 , 1.52706e+006 , 13.866
100_20_16 , 1.91464e+006 , 10.912
100_20_17 , 1.85873e+006 , 15.074
100_20_18 , 1.93653e+006 , 12.446
100_20_19 , 1.77198e+006 , 12.435
100_20_20 , 1.8825e+006 , 10.9
100_20_21 , 1.79299e+006 , 8.914
100_20_22 , 1.80485e+006 , 14.327
100_20_23 , 1.85227e+006 , 9.48
100_20_24 , 1.75941e+006 , 12.92
100_20_25 , 1.79314e+006 , 15.198
100_20_26 , 1.6411e+006 , 13.143
100_20_27 , 1.91399e+006 , 11.988
100_20_28 , 1.81138e+006 , 8.945
100_20_29 , 2.06962e+006 , 10.751
100_20_30 , 1.83274e+006 , 10.057
