Problem , Solution , CT
50_20_01 , 828473 , 0.013
50_20_02 , 775246 , 0.022
50_20_03 , 785347 , 0.01
50_20_04 , 944587 , 0.024
50_20_05 , 884684 , 0.009
50_20_06 , 857423 , 0.013
50_20_07 , 719888 , 0.015
50_20_08 , 687634 , 0.014
50_20_09 , 761233 , 0.02
50_20_10 , 766414 , 0.01
50_20_11 , 746748 , 0.016
50_20_12 , 794019 , 0.016
50_20_13 , 688629 , 0.016
50_20_14 , 816523 , 0.031
50_20_15 , 773362 , 0.011
50_20_16 , 749312 , 0.015
50_20_17 , 849101 , 0.009
50_20_18 , 811943 , 0.01
50_20_19 , 648211 , 0.014
50_20_20 , 813330 , 0.019
50_20_21 , 788947 , 0.018
50_20_22 , 759485 , 0.017
50_20_23 , 763568 , 0.014
50_20_24 , 752614 , 0.013
50_20_25 , 744125 , 0.016
50_20_26 , 719385 , 0.011
50_20_27 , 774177 , 0.008
50_20_28 , 749583 , 0.012
50_20_29 , 754189 , 0.009
50_20_30 , 699450 , 0.007
100_20_01 , 2.40328e+006 , 0.133
100_20_02 , 2.45447e+006 , 0.149
100_20_03 , 2.42302e+006 , 0.084
100_20_04 , 2.65537e+006 , 0.195
100_20_05 , 2.1769e+006 , 0.118
100_20_06 , 2.26889e+006 , 0.123
100_20_07 , 2.53532e+006 , 0.139
100_20_08 , 2.45978e+006 , 0.1
100_20_09 , 2.48219e+006 , 0.143
100_20_10 , 2.32052e+006 , 0.156
100_20_11 , 2.45392e+006 , 0.119
100_20_12 , 2.40837e+006 , 0.167
100_20_13 , 2.39393e+006 , 0.176
100_20_14 , 2.47747e+006 , 0.151
100_20_15 , 2.13445e+006 , 0.156
100_20_16 , 2.54768e+006 , 0.121
100_20_17 , 2.51435e+006 , 0.094
100_20_18 , 2.57732e+006 , 0.145
100_20_19 , 2.43077e+006 , 0.135
100_20_20 , 2.34795e+006 , 0.109
100_20_21 , 2.38499e+006 , 0.145
100_20_22 , 2.35975e+006 , 0.205
100_20_23 , 2.32036e+006 , 0.134
100_20_24 , 2.48084e+006 , 0.137
100_20_25 , 2.50388e+006 , 0.087
100_20_26 , 2.14468e+006 , 0.102
100_20_27 , 2.58997e+006 , 0.122
100_20_28 , 2.51417e+006 , 0.131
100_20_29 , 2.59986e+006 , 0.148
100_20_30 , 2.55126e+006 , 0.186
