Problem , Solution , CT
50_20_01 , 628823 , 0.014
50_20_02 , 655169 , 0.015
50_20_03 , 617725 , 0.019
50_20_04 , 713162 , 0.013
50_20_05 , 702918 , 0.009
50_20_06 , 674425 , 0.013
50_20_07 , 593627 , 0.012
50_20_08 , 554465 , 0.02
50_20_09 , 606517 , 0.015
50_20_10 , 637291 , 0.016
50_20_11 , 636238 , 0.009
50_20_12 , 611792 , 0.018
50_20_13 , 588929 , 0.01
50_20_14 , 611225 , 0.01
50_20_15 , 640548 , 0.007
50_20_16 , 582233 , 0.007
50_20_17 , 677546 , 0.018
50_20_18 , 661538 , 0.017
50_20_19 , 491812 , 0.01
50_20_20 , 600545 , 0.014
50_20_21 , 648867 , 0.012
50_20_22 , 675412 , 0.01
50_20_23 , 640023 , 0.011
50_20_24 , 572567 , 0.013
50_20_25 , 619444 , 0.013
50_20_26 , 645097 , 0.009
50_20_27 , 597983 , 0.013
50_20_28 , 580026 , 0.011
50_20_29 , 579202 , 0.013
50_20_30 , 561093 , 0.009
100_20_01 , 1.90102e+006 , 0.086
100_20_02 , 1.92638e+006 , 0.111
100_20_03 , 1.7601e+006 , 0.087
100_20_04 , 2.04857e+006 , 0.1
100_20_05 , 1.63881e+006 , 0.063
100_20_06 , 1.75329e+006 , 0.072
100_20_07 , 1.92032e+006 , 0.09
100_20_08 , 1.85404e+006 , 0.063
100_20_09 , 1.93331e+006 , 0.086
100_20_10 , 1.75802e+006 , 0.065
100_20_11 , 1.92455e+006 , 0.085
100_20_12 , 1.79797e+006 , 0.079
100_20_13 , 1.83362e+006 , 0.11
100_20_14 , 1.81666e+006 , 0.12
100_20_15 , 1.55848e+006 , 0.114
100_20_16 , 1.95955e+006 , 0.087
100_20_17 , 1.90525e+006 , 0.055
100_20_18 , 1.94002e+006 , 0.061
100_20_19 , 1.81012e+006 , 0.083
100_20_20 , 1.91007e+006 , 0.083
100_20_21 , 1.82944e+006 , 0.089
100_20_22 , 1.83658e+006 , 0.064
100_20_23 , 1.88053e+006 , 0.058
100_20_24 , 1.78679e+006 , 0.093
100_20_25 , 1.81818e+006 , 0.069
100_20_26 , 1.6908e+006 , 0.085
100_20_27 , 1.96744e+006 , 0.089
100_20_28 , 1.82477e+006 , 0.085
100_20_29 , 2.11306e+006 , 0.068
100_20_30 , 1.87132e+006 , 0.07
