Problem , Solution , CT
50_20_01 , 619451 , 1.703
50_20_02 , 645535 , 1.878
50_20_03 , 608220 , 2.277
50_20_04 , 680783 , 1.801
50_20_05 , 696924 , 2.442
50_20_06 , 663462 , 2.164
50_20_07 , 591299 , 2.352
50_20_08 , 568104 , 2.111
50_20_09 , 589208 , 2.15
50_20_10 , 613453 , 1.754
50_20_11 , 621941 , 1.832
50_20_12 , 597157 , 2.489
50_20_13 , 578387 , 1.62
50_20_14 , 605405 , 2.453
50_20_15 , 605587 , 1.958
50_20_16 , 559690 , 1.973
50_20_17 , 665201 , 2.436
50_20_18 , 643998 , 2.457
50_20_19 , 480283 , 2.169
50_20_20 , 585062 , 2.229
50_20_21 , 643093 , 2.01
50_20_22 , 670462 , 1.702
50_20_23 , 620460 , 1.667
50_20_24 , 574493 , 1.84
50_20_25 , 607213 , 1.49
50_20_26 , 636448 , 2.531
50_20_27 , 575270 , 2.294
50_20_28 , 571560 , 2.405
50_20_29 , 558609 , 2.403
50_20_30 , 518845 , 2.223
100_20_01 , 1.86799e+006 , 52.094
100_20_02 , 1.90458e+006 , 53.885
100_20_03 , 1.76238e+006 , 55.585
100_20_04 , 2.00531e+006 , 56.913
100_20_05 , 1.63276e+006 , 44.012
100_20_06 , 1.7248e+006 , 53.905
100_20_07 , 1.82096e+006 , 63.206
100_20_08 , 1.84082e+006 , 42.704
100_20_09 , 1.89006e+006 , 44.863
100_20_10 , 1.72072e+006 , 33.321
100_20_11 , 1.86482e+006 , 42.508
100_20_12 , 1.76479e+006 , 63.623
100_20_13 , 1.77498e+006 , 48.105
100_20_14 , 1.74419e+006 , 59.901
100_20_15 , 1.5061e+006 , 52.272
100_20_16 , 1.92083e+006 , 39.633
100_20_17 , 1.83468e+006 , 50.864
100_20_18 , 1.86246e+006 , 57.722
100_20_19 , 1.73502e+006 , 40.059
100_20_20 , 1.86019e+006 , 44.704
100_20_21 , 1.77934e+006 , 47.292
100_20_22 , 1.89228e+006 , 43.993
100_20_23 , 1.8551e+006 , 36.459
100_20_24 , 1.7502e+006 , 53.592
100_20_25 , 1.76785e+006 , 55.046
100_20_26 , 1.60678e+006 , 42.728
100_20_27 , 1.93381e+006 , 40.777
100_20_28 , 1.79025e+006 , 44.715
100_20_29 , 2.06944e+006 , 45.001
100_20_30 , 1.82591e+006 , 50.303
