Problem , Solution , CT
50_20_01 , 613304 , 0.716
50_20_02 , 643346 , 0.498
50_20_03 , 603750 , 0.7
50_20_04 , 685911 , 0.335
50_20_05 , 675194 , 0.762
50_20_06 , 653880 , 0.301
50_20_07 , 581697 , 0.599
50_20_08 , 547612 , 0.279
50_20_09 , 589661 , 0.208
50_20_10 , 618412 , 0.478
50_20_11 , 623189 , 0.469
50_20_12 , 598433 , 0.22
50_20_13 , 561815 , 0.577
50_20_14 , 582414 , 0.999
50_20_15 , 615301 , 0.653
50_20_16 , 564566 , 0.539
50_20_17 , 660969 , 0.48
50_20_18 , 645044 , 0.217
50_20_19 , 478417 , 0.664
50_20_20 , 582386 , 0.375
50_20_21 , 626119 , 0.594
50_20_22 , 661498 , 0.459
50_20_23 , 616960 , 0.826
50_20_24 , 557183 , 0.191
50_20_25 , 608833 , 0.227
50_20_26 , 613415 , 0.493
50_20_27 , 575494 , 0.629
50_20_28 , 563530 , 0.473
50_20_29 , 563343 , 0.583
50_20_30 , 535865 , 1.028
100_20_01 , 1.85304e+006 , 6.605
100_20_02 , 1.86797e+006 , 10.552
100_20_03 , 1.72609e+006 , 7.004
100_20_04 , 2.00644e+006 , 4.493
100_20_05 , 1.59408e+006 , 14.747
100_20_06 , 1.71337e+006 , 10.729
100_20_07 , 1.82705e+006 , 8.829
100_20_08 , 1.80275e+006 , 6.964
100_20_09 , 1.90436e+006 , 9.771
100_20_10 , 1.70234e+006 , 10.881
100_20_11 , 1.87232e+006 , 7.279
100_20_12 , 1.75198e+006 , 8.833
100_20_13 , 1.77895e+006 , 5.499
100_20_14 , 1.76522e+006 , 10.925
100_20_15 , 1.4794e+006 , 8.079
100_20_16 , 1.90517e+006 , 10.602
100_20_17 , 1.81187e+006 , 10.039
100_20_18 , 1.88666e+006 , 8.437
100_20_19 , 1.74558e+006 , 6.806
100_20_20 , 1.84693e+006 , 9.226
100_20_21 , 1.77343e+006 , 6.583
100_20_22 , 1.78679e+006 , 10.273
100_20_23 , 1.8255e+006 , 8.637
100_20_24 , 1.74635e+006 , 5.868
100_20_25 , 1.76952e+006 , 7.581
100_20_26 , 1.62168e+006 , 8.382
100_20_27 , 1.91205e+006 , 4.844
100_20_28 , 1.78217e+006 , 8.746
100_20_29 , 2.05763e+006 , 5.873
100_20_30 , 1.80959e+006 , 10.385
