Problem , Solution , CT
50_20_01 , 604987 , 1.005
50_20_02 , 634910 , 1.363
50_20_03 , 599146 , 1.525
50_20_04 , 679722 , 1.46
50_20_05 , 665944 , 1.313
50_20_06 , 649512 , 1.606
50_20_07 , 575707 , 1.502
50_20_08 , 541189 , 0.946
50_20_09 , 587837 , 1.209
50_20_10 , 610837 , 1.72
50_20_11 , 612810 , 1.253
50_20_12 , 594523 , 1.827
50_20_13 , 559472 , 1.404
50_20_14 , 584980 , 1.237
50_20_15 , 605656 , 1.11
50_20_16 , 555346 , 1.731
50_20_17 , 656247 , 1.602
50_20_18 , 642562 , 1.674
50_20_19 , 476190 , 1.954
50_20_20 , 575041 , 1.584
50_20_21 , 635422 , 1.418
50_20_22 , 656296 , 1.22
50_20_23 , 619047 , 1.501
50_20_24 , 565683 , 1.284
50_20_25 , 600451 , 1.636
50_20_26 , 613527 , 1.078
50_20_27 , 575776 , 1.509
50_20_28 , 567046 , 2.08
50_20_29 , 553540 , 1.62
50_20_30 , 520168 , 1.36
100_20_01 , 1.81795e+006 , 44.719
100_20_02 , 1.82929e+006 , 37.732
100_20_03 , 1.71173e+006 , 33.148
100_20_04 , 1.97838e+006 , 38.894
100_20_05 , 1.55977e+006 , 42.215
100_20_06 , 1.69076e+006 , 42.264
100_20_07 , 1.77908e+006 , 47.395
100_20_08 , 1.77969e+006 , 31.536
100_20_09 , 1.86468e+006 , 32.998
100_20_10 , 1.68516e+006 , 26.081
100_20_11 , 1.84829e+006 , 34.311
100_20_12 , 1.72318e+006 , 45.406
100_20_13 , 1.74849e+006 , 39.071
100_20_14 , 1.7332e+006 , 43.561
100_20_15 , 1.47035e+006 , 46.33
100_20_16 , 1.88013e+006 , 32.45
100_20_17 , 1.80644e+006 , 38.312
100_20_18 , 1.8504e+006 , 34.308
100_20_19 , 1.70546e+006 , 42.242
100_20_20 , 1.82867e+006 , 35.109
100_20_21 , 1.74375e+006 , 33.141
100_20_22 , 1.77834e+006 , 39.097
100_20_23 , 1.81265e+006 , 41.31
100_20_24 , 1.723e+006 , 37.045
100_20_25 , 1.74502e+006 , 35.087
100_20_26 , 1.5949e+006 , 42.097
100_20_27 , 1.88861e+006 , 40.803
100_20_28 , 1.76174e+006 , 42.576
100_20_29 , 2.03586e+006 , 33.626
100_20_30 , 1.79097e+006 , 30.087
