Problem , Solution , CT
50_20_01 , 610507 , 0.153
50_20_02 , 639831 , 0.395
50_20_03 , 604619 , 0.202
50_20_04 , 682735 , 0.368
50_20_05 , 664972 , 0.3
50_20_06 , 652307 , 0.421
50_20_07 , 577357 , 0.426
50_20_08 , 544339 , 0.204
50_20_09 , 582515 , 0.311
50_20_10 , 612536 , 0.488
50_20_11 , 624134 , 0.306
50_20_12 , 594464 , 0.222
50_20_13 , 567926 , 0.347
50_20_14 , 590290 , 0.506
50_20_15 , 614861 , 0.372
50_20_16 , 565209 , 0.281
50_20_17 , 664156 , 0.258
50_20_18 , 642014 , 0.228
50_20_19 , 475177 , 0.375
50_20_20 , 580738 , 0.279
50_20_21 , 627901 , 0.207
50_20_22 , 655081 , 0.294
50_20_23 , 622118 , 0.473
50_20_24 , 559441 , 0.182
50_20_25 , 602087 , 0.326
50_20_26 , 611784 , 0.349
50_20_27 , 575254 , 0.37
50_20_28 , 564996 , 0.162
50_20_29 , 554594 , 0.437
50_20_30 , 541028 , 0.606
100_20_01 , 1.83505e+006 , 5.054
100_20_02 , 1.85634e+006 , 4.779
100_20_03 , 1.71199e+006 , 4.552
100_20_04 , 1.99295e+006 , 4.287
100_20_05 , 1.59897e+006 , 6.153
100_20_06 , 1.69891e+006 , 5.396
100_20_07 , 1.82936e+006 , 5.772
100_20_08 , 1.79373e+006 , 2.955
100_20_09 , 1.8981e+006 , 2.935
100_20_10 , 1.70699e+006 , 3.609
100_20_11 , 1.86128e+006 , 5.815
100_20_12 , 1.73778e+006 , 6.066
100_20_13 , 1.76226e+006 , 4.302
100_20_14 , 1.74918e+006 , 8.642
100_20_15 , 1.48913e+006 , 7.157
100_20_16 , 1.90211e+006 , 6.887
100_20_17 , 1.82482e+006 , 5.772
100_20_18 , 1.86196e+006 , 6.436
100_20_19 , 1.72069e+006 , 4.807
100_20_20 , 1.85466e+006 , 4.26
100_20_21 , 1.76161e+006 , 5.119
100_20_22 , 1.78682e+006 , 5.306
100_20_23 , 1.8284e+006 , 8.01
100_20_24 , 1.74571e+006 , 6.049
100_20_25 , 1.7568e+006 , 3.657
100_20_26 , 1.58837e+006 , 3.805
100_20_27 , 1.88993e+006 , 3.86
100_20_28 , 1.78633e+006 , 4.795
100_20_29 , 2.05779e+006 , 6.028
100_20_30 , 1.81153e+006 , 9.025
